"Data Element (Field Name)","Type (min,max)",Required,"Format / Values"
"`Organisation Path`_ (organisation_path)

",string,yes,"A sequence of colon separated Organisation Keys that fully specifies the Provider Organisation providing a service to the client."
"`Episode Key`_ (episode_key)

","string (2,50)",yes,"This is a number or code assigned to each PMHC MDS episode. The Episode Key is unique and stable for each episode at the level of the organisation. This key must link to an existing episode within the PMHC MDS."
"`NSPT Episode - Consent 1: NSPT evaluation`_ (nspt_consent_flag)

",string,yes,":1: Yes"
"`NSPT Episode - Consent 2: for Consumer Survey`_ (nspt_consumer_survey)

",string,yes,":1: Yes
:2: No
:3: Not required"
"`NSPT Episode - Sexual Identity`_ (nspt_sexual_identity)

",string,yes,":1: Lesbian, gay or homosexual
:2: Straight or heterosexual
:3: Bisexual
:4: Something else
:5: Don't know
:6: Not stated"
"`NSPT Episode - Veteran`_ (nspt_veteran)

",string,yes,":1: Yes
:2: No
:9: Unknown"
"`NSPT Episode - Suicide Trial Main Treatment Focus`_ (nspt_main_treatment_focus)

",string,yes,":1: Suicide Mitigation
:2: Postvention
:4: Psychological therapy
:5: Culturally specific assistance
:6: Case management
:7: Other support"
"`NSPT Episode - Suicide Trial Main Treatment Focus Other`_ (nspt_main_treatment_focus_other)

","string (2,100)","—","Description of other main focus of treatment."
"`NSPT Episode - Other services used in the last six months`_ (nspt_other_services)

",string,yes,":0: None
:1: General Practice
:2: Medical Specialist Consulting Rooms
:3: Private practice
:4: Public mental health service
:5: Public Hospital
:6: Private Hospital
:7: Emergency Department
:8: Community Health Centre
:9: Drug and Alcohol Service
:10: Community Support Organisation NFP
:11: Indigenous Health Organisation
:12: Child and Maternal Health
:13: Nursing Service
:14: Telephone helpline
:15: Digital health service
:16: Family Support Service
:17: School
:18: Tertiary Education institution
:19: Housing service
:20: Centrelink
:21: PHN psychological therapies
:22: Veteran/defence support services
:23: Other
:99: Not stated
Multiple space separated values allowed"
"`NSPT Episode - Lifetime suicide attempt and ideation`_ (nspt_lifetime_suicide_attempt)

",string,yes,":1: Suicide attempt
:2: Suicide ideation, no attempt
:3: Neither suicide attempt nor ideation
:4: Not known"
"`NSPT Episode - Referral made`_ (nspt_referral_made)

",string,yes,":0: None
:1: General Practice
:2: Medical Specialist Consulting Rooms
:3: Private practice
:4: Public mental health service
:5: Public Hospital
:6: Private Hospital
:7: Emergency Department
:8: Community Health Centre
:9: Drug and Alcohol Service
:10: Community Support Organisation NFP
:11: Indigenous Health Organisation
:12: Child and Maternal Health
:13: Nursing Service
:14: Telephone helpline
:15: Digital health service
:16: Family Support Service
:17: School
:18: Tertiary Education institution
:19: Housing service
:20: Centrelink
:21: PHN psychological therapies
:22: Veteran/defence support services
:23: Other
:99: Not stated
Multiple space separated values allowed"
"`NSPT Episode - Tags`_ (nspt_tags)

",string,"—","List of tags for the NSPT Episode."
