"Data Element (Field Name)","Type (min,max)",Required,"Format / Values"
"`Organisation Path`_ (organisation_path)

",string,yes,"A sequence of colon separated Organisation Keys that fully specifies the Provider Organisation providing a service to the client."
"`Measure Key`_ (measure_key)

","string (2,50)",yes,"This is a number or code assigned to each instance of a measure. The Measure Key is unique and stable for each instance of a measure at the level of the organisation."
"`Collection Occasion Key`_ (collection_occasion_key)

","string (2,50)",yes,"This is a number or code assigned to each collection occasion of outcome measures. The Collection Occasion Key is unique and stable for each collection occasion at the level of the organisation."
"`K5 - Question 1`_ (k5_item1)

",string,yes,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K5 - Question 2`_ (k5_item2)

",string,yes,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K5 - Question 3`_ (k5_item3)

",string,yes,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K5 - Question 4`_ (k5_item4)

",string,yes,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K5 - Question 5`_ (k5_item5)

",string,yes,":1: None of the time
:2: A little of the time
:3: Some of the time
:4: Most of the time
:5: All of the time
:9: Not stated / Missing"
"`K5 - Score`_ (k5_score)

",integer,yes,"5 - 25, 99 = Not stated / Missing"
"`K5 - Tags`_ (k5_tags)

",string,"—","List of tags for the collection occasion."
