"Data Element (Field Name)","Type (min,max)",Required,"Format / Values"
"`Organisation Path`_ (organisation_path)

",string,yes,"A sequence of colon separated Organisation Keys that fully specifies the Provider Organisation providing a service to the client."
"`Collection Occasion Key`_ (collection_occasion_key)

","string (2,50)",yes,"This is a number or code assigned to each collection occasion of outcome measures. The Collection Occasion Key is unique and stable for each collection occasion at the level of the organisation."
"`Episode Key`_ (episode_key)

","string (2,50)",yes
"`Collection Occasion - Measure Date`_ (measure_date)

",date,yes,"The date the measure was given."
"`Collection Occasion - Reason`_ (reason_for_collection)

",string,yes,":1: Episode start
:2: Review
:3: Episode end"
"`MSPSS - Question 1`_ (mspss_item1)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 2`_ (mspss_item2)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 3`_ (mspss_item3)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 4`_ (mspss_item4)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 5`_ (mspss_item5)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 6`_ (mspss_item6)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 7`_ (mspss_item7)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 8`_ (mspss_item8)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 9`_ (mspss_item9)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 10`_ (mspss_item10)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 11`_ (mspss_item11)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Question 12`_ (mspss_item12)

",string,yes,":1: Very Strongly Disagree
:2: Strongly Disagree
:3: Mildly Disagree
:4: Neutral
:5: Mildly Agree
:6: Strongly Agree
:7: Very Strongly Agree
:9: Not stated / Missing"
"`MSPSS - Significant Other Subscale`_ (mspss_significant_other_subscale)

",integer,yes,"1 - 7, 99 = Not stated / Missing"
"`MSPSS - Family Subscale`_ (mspss_family_subscale)

",integer,yes,"1 - 7, 99 = Not stated / Missing"
"`MSPSS - Friends Subscale`_ (mspss_friends_subscale)

",integer,yes,"1 - 7, 99 = Not stated / Missing"
"`MSPSS - Total Scale`_ (mspss_total_scale)

",integer,yes,"1 - 7, 99 = Not stated / Missing"
"`MSPSS - Tags`_ (mspss_tags)

",string,"—","List of tags for the collection occasion."
