"Data Element (Field Name)","Type (min,max)",Required,"Format / Values"
"`Organisation Path`_ (organisation_path)

",string,yes,"A sequence of colon separated Organisation Keys that fully specifies the Provider Organisation providing a service to the client."
"`Collection Occasion Key`_ (collection_occasion_key)

","string (2,50)",yes,"This is a number or code assigned to each collection occasion of outcome measures. The Collection Occasion Key is unique and stable for each collection occasion at the level of the organisation."
"`Episode Key`_ (episode_key)

","string (2,50)",yes
"`Collection Occasion - Measure Date`_ (measure_date)

",date,yes,"The date the measure was given."
"`Collection Occasion - Reason`_ (reason_for_collection)

",string,yes,":1: Episode start
:2: Review
:3: Episode end"
"`SIDAS - Question 1`_ (sidas_item1)

",integer,yes,"0 - 10, 99 = Not stated / Missing"
"`SIDAS - Question 2`_ (sidas_item2)

",integer,yes,"0 - 10, 99 = Not stated / Missing"
"`SIDAS - Question 3`_ (sidas_item3)

",integer,yes,"0 - 10, 99 = Not stated / Missing"
"`SIDAS - Question 4`_ (sidas_item4)

",integer,yes,"0 - 10, 99 = Not stated / Missing"
"`SIDAS - Question 5`_ (sidas_item5)

",integer,yes,"0 - 10, 99 = Not stated / Missing"
"`SIDAS - Tags`_ (sidas_tags)

",string,"—","List of tags for the collection occasion."
